continent,Country of origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Asia,Saudi Arabia,42.8,34.1,37.7,37.0,39.5,56.5,63.8,58.6,54.2,66.8,74.4,90.9,99.1,103.9,108.5,114.6,120.5,185.9,31.3
Europe,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,17.8,16.3,12.5,16.9,12.9,22.0,17.3,7.9,6.4
Asia,Singapore,57.5,52.6,57.2,49.9,70.9,63.4,77.0,64.7,89.2,88.9,106.7,91.5,120.6,148.6,124.5,155.8,121.8,159.5,10.2
Africa,South Africa,162.5,156.8,167.6,180.1,216.8,174.8,164.2,131.5,123.4,108.7,118.8,142.3,124.5,134.5,103.8,128.6,113.1,121.9,15.9
Asia,South Korea,67.0,88.6,114.6,119.1,119.4,128.0,109.5,58.0,84.8,108.1,130.7,154.8,164.6,181.9,160.3,164.4,137.1,265.9,52.4
Europe,Spain,444.4,526.6,691.6,709.7,933.5,967.5,895.3,"1,011.3",875.2,894.8,795.9,865.7,984.3,"1,153.2","1,281.7","1,224.2",1254.5,1212.3,173.8
Europe,Sweden,291.9,307.9,327.2,333.8,383.1,401.9,417.5,335.1,442.6,457.7,503.1,516.1,547.4,553.6,506.0,509.1,456.6,458.4,56.8
Europe,Switzerland,310.6,297.1,292.6,331.4,389.2,372.4,348.2,354.3,314.5,391.2,425.0,453.8,503.1,504.4,527.0,505.7,424.2,486.0,87.7
Asia,Taiwan,18.9,20.4,23.3,22.1,18.9,23.1,17.8,23.1,23.3,23.6,27.0,28.8,37.9,33.7,36.8,54.6,63.1,122.5,10.3
Asia,Thailand,21.4,26.3,29.6,27.3,29.7,36.5,22.0,39.4,30.1,35.9,38.0,41.9,35.5,43.3,46.3,59.3,54.4,121.3,17.6
Asia,Turkey,41.2,61.0,55.9,51.9,91.6,77.9,75.4,58.9,71.7,69.4,91.5,90.8,103.0,116.8,114.5,106.7,110.0,187.6,15.9
Asia,United Arab Emirates,60.6,58.3,73.2,61.8,89.1,91.5,123.7,121.4,107.2,118.2,133.3,161.3,152.1,181.3,185.4,201.7,208.8,313.8,47.0
North America,USA,"2,446.3","2,233.1","2,406.4","2,276.8","2,536.9","2,333.6","1,907.9","1,839.1","1,765.6","1,842.8","1,862.3","1,877.9","1,982.2","2,142.3","2,321.7","2,617.3",2631.2,3087.8,497.1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
